noOfComments,bodyLength,bodyContent,commentsSentimentValue,noOfevents,filteredUsers,noOfDevelopers,bugAuthor,labels,sameBugFixTime,timeToFix,sameBugFixTimeClass,timeToFixClass
0,1921,"Re-installing npm@5.4.0 breaks node-gyp permissions ,  I'm opening this issue because: - [x] npm is producing an incorrect install. What's going wrong?After re-installing npm@5.4.0 over itself the permissions of npm/bin/node-gyp-bin/node-gyp and npm/bin/node-gyp-bin/node-gyp.cmd are missing the executable flag. This results in a ""Permission denied"" err",0,3,iarna,1,Grandrath,bug,6628.986666666667,56.21722222222222,7,2
10,4971,"NPM 5.x unable to install a local tarball while offline ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong? How can the CLI team reproduce the problem?1) Create a new projectmkdir tmpcd tmpn",3.3709999999999996,11,"KenanY,iarna,pietermees,JamieMason,erickj",5,JamieMason,"bug,npm5",6.283055555555555,2598.0369444444445,1,6
27,3473,"npm5.4 fails to install packages that depend on fsevents on windows ,  I'm opening this issue because: - [x] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When using npm5.4 on a windows machine, and installing a package that has an option",24.787000000000003,11,"filipesilva,iarna,marcins,cchamberlain,zfeher,lukeapage,AlQuraian,Paddelu,MissCuriosity,n3dst4,fabianchoxD,Shtokins,Teamop,Mds92,clener,jumpDuckEgg,ilich,FrancoisH,jimmymain,tomihawk,motss,dantheman999301,awesomepeng",23,filipesilva,"bug,npm5,windows",4470.841944444444,375.1936111111111,7,4
265,1681,"Cannot read property '0' of undefined ,  I'm opening this issue because: - [✓] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?~/P/dreamer-api master> npm install --save camintenpm WARN eslint-config-airbnb@15.",-9.260999999999997,30,"jlchereau,refack,KenanY,zkat,roc,portix,furagi,jpbecotte,gabiap96,saeedtabrizi,drewpayment,Saturate,dennyd,Wandang,isaaczinda,DevYukine,weegeekps,flubox,m3l7,jorrit,Bejor,karlvaniseghem,CarrierDirectJoe,damienleroux,elizavetd,Karolis92,cullylarson,zhaoxiongfei,SimonSchick,firebolt55439",30,OKNoah,"bug,npm5",14.24611111111111,3395.7994444444444,1,6
6,3968,"Cannot find some modules when use npm@5.2.0 install standard ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?Some modules is missing when I use npm i -D standard.You can find eslint-plugin-rea",-7.166,5,"iarna,zkat,yvele,fmal,swernerx,iowillhoit",6,LitoMore,"bug,npm5",3395.7994444444444,14.24611111111111,6,1
185,4104,"npm install fails in windows using fsevents ,  I'm opening this issue because: - [x] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When doing an npm install with just a package.json, I get an EPERM which causes an",-37.275999999999996,30,"zkat,gforceg,marcins,JeffSkyrunner,egoroof,kylelamse,vascofernandes,markwhitfeld,CarolineBoyer,pocesar,bohoffi,cchamberlain,DJviolin,lucastheisen,nejsimon,elvirdolic,UnKnoWn-Consortium,caesay,dfederm",19,kylelamse,"bug,needs-repro,npm5",5178.521111111111,1664.2188888888888,7,6
1,2117,"npm i --no-save ../foo alters foo's node_modules ,  I'm opening this issue because: - [X] npm is producing an incorrect install. - [X] npm is doing something I don't understand. What's going wrong?related to 17099.npm seems to be doing a three-step tango now where it will overwrite a locally-installed npm package's node_modules directory with only t",-0.625,3,"zkat,ericeslinger",2,ericeslinger,"bug,npm5",656.3402777777778,988.0180555555555,5,5
3,4058,"package dependencies go missing when updating , Thank you for npm 💜✨I noticed this with 5.0.x and found it was still an issue in 5.1.0 so thought I'd let you know :) I'm opening this issue because: - npm is producing an incorrect install. What's going wrong?[next](https://github.com/zeit/next.js)@2 depends on webpack 2. next@3 depends on webpack",7.773999999999999,14,"2,zkat,iarna,Meligy",4,SomeHats,"bug,npm5",130.7563888888889,108.77805555555555,3,3
7,2605,"Unexpected ""not a child of"" error ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?I have a monorepo with packages/app and packages/frontend. There is a dependency fr",0.6699999999999997,17,"zkat,sudo-suhas,iarna,novemberborn,juliusdavies,garthk,ashubham",7,novemberborn,"bug,npm5",496.3016666666667,187.04638888888888,5,4
24,687,"npm install --no-optional installs optional dependencies anyway ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?If I have an optional dependency specified in my project's package.json, npm instal",23.121000000000002,7,"zkat,rogersp,npm,stefcameron,aequasi,smartmouse,laudeam,flobacher,buvinghausen,cdierkens,kochie,jdmarshall,tcort,andrew-polyansky,dannypaz,grconrad,webpepper,sconix,antennaio",19,akdor1154,"bug,npm5",5.126944444444445,7096.981388888889,1,7
